"name_en","highway","lanes","oneway","bridge","geometry","length_m","road_id","flood_pct","usable"
"Grand Trunk Road","trunk","2","yes",NA,c(1015951.26306983, 1015780.411469, 3507838.06153986, 3507809.21783602),173.269237776758,1,0,TRUE
"Grand Trunk Road","trunk","2","yes",NA,c(1015944.99857884, 1016142.68508173, 3507858.2020378, 3507891.86028434),200.531371568054,2,0,TRUE
NA,"secondary",NA,NA,"yes",c(1034650.00882138, 1034701.54713523, 3502499.60871282, 3502469.10929449),59.8866622298758,3,0,TRUE
NA,"secondary",NA,"yes",NA,c(1016389.37181764, 1016445.35091583, 3494137.18128582, 3494063.53988452),92.502515751801,4,0,TRUE
"Grand Trunk Road","trunk","2","yes",NA,c(1015772.97085833, 1015944.99857884, 3507828.4870208, 3507858.2020378),174.575252714388,5,0,TRUE
"Grand Trunk Road","trunk","2","yes",NA,c(1016286.0720565, 1015951.26306983, 3507901.34831493, 3507838.06153986),340.737836833124,6,0,TRUE
NA,"primary","2","yes",NA,c(329213.214957651, 329848.863628417, 2745481.0765587, 2744688.6767993),1015.84773039666,7,0,TRUE
NA,"trunk",NA,"yes",NA,c(666931.274270549, 650717.905507601, 3633071.76846815, 3650706.1963172),23955.0907367695,8,0,TRUE
"National Highway","trunk","2","yes",NA,c(447626.09379402, 448566.879480435, 3014439.41135758, 3014755.01199371),992.311175634187,9,0,TRUE
NA,"secondary",NA,NA,NA,c(375341.580517198, 375842.377534789, 3456652.66719267, 3457018.37417546),620.112288289847,10,0,TRUE
NA,"primary",NA,"yes",NA,c(876069.977709389, 873727.402307184, 3305255.09319972, 3303255.16418279),3080.15837056492,11,0,TRUE
NA,"secondary",NA,"yes",NA,c(872631.228009357, 872693.981940936, 3302486.71454753, 3302422.90337458),89.4981660245593,12,0,TRUE
NA,"secondary",NA,NA,NA,c(941037.377062609, 939160.291223155, 3647857.31900429, 3646150.09361361),2537.33517361825,13,0,TRUE
NA,"secondary",NA,NA,"yes",c(968724.842211002, 968741.573640503, 3566134.96022742, 3566119.95644391),22.4734121301306,14,0,TRUE
NA,"primary","2","yes",NA,c(928505.969201421, 926750.930220498, 3418394.66129834, 3417275.61106167),2081.45027727645,15,0,TRUE
NA,"secondary",NA,NA,NA,c(720396.022272585, 721094.991612163, 3753923.0596332, 3753815.49042581),707.198184421328,16,0,TRUE
"Indus Highway","trunk","2","yes","yes",c(673686.274132217, 673726.442324289, 3539660.21495416, 3539533.18608249),133.228442497435,17,0,TRUE
"Constitution Avenue","primary","4","yes",NA,c(879086.654546384, 879331.892639567, 3741425.50609784, 3739710.10714417),1732.84023862482,18,0,TRUE
NA,"trunk",NA,NA,NA,c(674500.322138613, 679661.764415273, 3522447.37353238, 3522487.88893214),5161.60128961071,19,0,TRUE
"Circular Road","trunk",NA,NA,NA,c(679536.388547692, 679661.764415273, 3522709.08513734, 3522487.88893214),254.25748636001,20,0,TRUE
"Karakoram Highway","trunk",NA,NA,"yes",c(878296.781253411, 878270.210633297, 3905714.29739957, 3905665.31514041),55.7248559090791,21,0,TRUE
"Park Road","secondary",NA,NA,NA,c(980597.065826355, 980495.096815085, 3988216.00780404, 3987854.73765474),375.384869218138,22,0,TRUE
"National Highway","trunk","2","yes",NA,c(446508.800057369, 447488.94845747, 3014036.53731382, 3014391.73042288),1042.52243666334,23,0,TRUE
"Karakoram Highway","trunk",NA,NA,"yes",c(873981.78249788, 873942.093532695, 3901231.65526597, 3901266.73814767),52.9719033600399,24,0,TRUE
NA,"primary",NA,NA,NA,c(903942.573829505, 922299.925764875, 3711811.54463426, 3722302.35688405),21143.5453919026,25,0,TRUE
"Indus Highway","trunk","2","yes",NA,c(673726.442324289, 673800.43942892, 3539533.18608249, 3539303.52965424),241.283332479071,26,0,TRUE
NA,"secondary",NA,NA,NA,c(1006061.17803507, 1009113.18511066, 3638150.05041691, 3637574.93284323),3105.7217217571,27,0,TRUE
NA,"secondary",NA,NA,NA,c(915278.400627287, 908861.287627281, 3717853.16622683, 3724567.96406659),9288.04873392232,28,0,TRUE
"Indus Highway","trunk","2","yes",NA,c(674280.466042232, 673730.603744898, 3537569.52824211, 3539411.28970609),1922.09100623145,29,0,TRUE
NA,"secondary","2",NA,NA,c(615829.743131574, 615841.115092363, 3161797.70850238, 3161709.08571194),89.3494290867334,30,0,TRUE
"Indus Highway","trunk","2","yes","yes",c(673730.603744898, 673667.229837645, 3539411.28970609, 3539487.09898442),98.8094064464967,31,0,TRUE
"Indus Highway","trunk","2","yes",NA,c(673667.229837645, 673659.749484727, 3539487.09898442, 3539494.52410081),10.5398307932514,32,0,TRUE
NA,"secondary",NA,"yes",NA,c(878873.134690877, 878813.127483498, 3713253.79554656, 3713223.09186776),67.4060889621954,33,0,TRUE
NA,"primary","3","yes",NA,c(302086.522612781, 302159.097794582, 2747353.45641482, 2747357.6328586),72.6952522264251,34,0,TRUE
NA,"secondary","2",NA,NA,c(885652.9453279, 885271.047546683, 3485844.63103321, 3485385.75042857),597.006971992811,35,0,TRUE
NA,"secondary",NA,NA,"yes",c(463843.41794464, 463835.185357849, 3035081.38913857, 3035091.42682892),12.9819379486473,36,0,TRUE
NA,"primary","3","yes",NA,c(303397.958555179, 303316.395790741, 2747549.07990056, 2747534.89907334),82.7863539695374,37,0,TRUE
NA,"secondary","2","yes",NA,c(303059.183093136, 303043.265256379, 2747454.4264415, 2747417.38398235),40.3177542338299,38,0,TRUE
NA,"secondary",NA,NA,"yes",c(463922.130126367, 463915.064390071, 3034934.82167486, 3034931.67444531),7.73496497837398,39,0,TRUE
